Record.ID,s,word,accuracy,cognate,diff,subject,L2AoA,Language
BUBA072,spa,harmonica,1,1,3,subject6,27,0
BUBA072,spa,rhinoceros,1,1,4,subject6,27,0
BUBA072,spa,acorn,0,0,4,subject6,27,0
BUBA072,spa,igloo,1,1,4,subject6,27,0
BUBA072,spa,stilts,0,0,4,subject6,27,0
BUBA072,spa,dominos,0,1,4,subject6,27,0
BUBA072,spa,harp,1,1,4,subject6,27,0
BUBA072,spa,hammock,0,1,4,subject6,27,0
BUBA072,spa,knocker,0,0,4,subject6,27,0
BUBA072,spa,pyramid,0,1,5,subject6,27,0
BUBA072,spa,muzzle,0,0,5,subject6,27,0
BUBA072,spa,unicorn,0,1,5,subject6,27,0
BUBA072,spa,funnel,1,0,5,subject6,27,0
BUBA072,spa,accordion,1,1,5,subject6,27,0
BUBA072,spa,noose,0,0,5,subject6,27,0
BUBA072,spa,asparagus,0,1,5,subject6,27,0
BUBA072,spa,compass,1,1,5,subject6,27,0
BUBA072,spa,latch,0,0,6,subject6,27,0
BUBA072,spa,tripod,1,1,6,subject6,27,0
BUBA072,spa,scroll,0,0,6,subject6,27,0
BUBA072,spa,tongs,0,0,6,subject6,27,0
BUBA072,spa,sphinx,0,1,6,subject6,27,0
BUBA072,spa,yoke,0,0,6,subject6,27,0
BUBA072,spa,trellis,0,0,6,subject6,27,0
BUBA072,spa,protractor,0,0,6,subject6,27,0
BUBA072,spa,abacus,0,1,6,subject6,27,0
BUBA076,spa,comb,1,0,1,subject7,18,0
BUBA076,spa,flower,1,1,1,subject7,18,0
BUBA076,spa,helicopter,1,1,2,subject7,18,0
BUBA076,spa,broom,1,0,2,subject7,18,0
BUBA076,spa,octopus,1,0,2,subject7,18,0
BUBA076,spa,mushroom,1,0,2,subject7,18,0
BUBA076,spa,hanger,1,0,2,subject7,18,0
BUBA076,spa,wheelchair,1,0,2,subject7,18,0
BUBA076,spa,camel,1,1,2,subject7,18,0
BUBA076,spa,mask,1,1,2,subject7,18,0
BUBA076,spa,racquet,1,1,3,subject7,18,0
BUBA076,spa,snail,1,0,3,subject7,18,0
BUBA076,spa,volcano,1,1,3,subject7,18,0
BUBA076,spa,seahorse,1,0,3,subject7,18,0
BUBA076,spa,dart,0,1,3,subject7,18,0
BUBA076,spa,canoe,0,1,3,subject7,18,0
BUBA076,spa,wreath,0,0,3,subject7,18,0
BUBA076,spa,beaver,1,0,3,subject7,18,0
BUBA076,spa,harmonica,1,1,3,subject7,18,0
BUBA076,spa,rhinoceros,0,1,4,subject7,18,0
BUBA076,spa,acorn,0,0,4,subject7,18,0
BUBA076,spa,igloo,1,1,4,subject7,18,0
BUBA076,spa,stilts,0,0,4,subject7,18,0
BUBA076,spa,dominos,1,1,4,subject7,18,0
BUBA076,spa,harp,0,1,4,subject7,18,0
BUBA076,spa,hammock,1,1,4,subject7,18,0
BUBA076,spa,knocker,0,0,4,subject7,18,0
BUBA076,spa,pyramid,1,1,5,subject7,18,0
BUBA076,spa,muzzle,0,0,5,subject7,18,0
BUBA076,spa,unicorn,1,1,5,subject7,18,0
BUBA076,spa,funnel,0,0,5,subject7,18,0
BUBA076,spa,accordion,0,1,5,subject7,18,0
BUBA076,spa,noose,1,0,5,subject7,18,0
BUBA076,spa,asparagus,1,1,5,subject7,18,0
BUBA076,spa,compass,1,1,5,subject7,18,0
