Record.ID,e,word,accuracy,cognate,diff
BUBA083,eng,igloo,0,1,4
BUBA083,eng,stilts,0,0,4
BUBA083,eng,dominos,0,1,4
BUBA083,eng,harp,0,1,4
BUBA083,eng,hammock,0,1,4
BUBA083,eng,knocker,0,0,4
BUBA083,eng,pyramid,0,1,5
BUBA083,eng,muzzle,0,0,5
BUBA083,eng,unicorn,0,1,5
BUBA083,eng,funnel,0,0,5
BUBA083,eng,accordion,0,1,5
BUBA083,eng,noose,0,0,5
BUBA083,eng,asparagus,0,1,5
BUBA083,eng,compass,0,1,5
BUBA083,eng,latch,0,0,6
BUBA083,eng,tripod,0,1,6
BUBA083,eng,scroll,0,0,6
BUBA083,eng,tongs,0,0,6
BUBA083,eng,sphinx,0,1,6
BUBA083,eng,yoke,0,0,6
BUBA083,eng,trellis,0,0,6
BUBA083,eng,protractor,0,0,6
BUBA083,eng,abacus,0,1,6
BUBA084,eng,comb,1,0,1
BUBA084,eng,flower,1,1,1
BUBA084,eng,helicopter,1,1,2
BUBA084,eng,broom,1,0,2
BUBA084,eng,octopus,1,0,2
BUBA084,eng,mushroom,1,0,2
BUBA084,eng,hanger,1,0,2
BUBA084,eng,wheelchair,1,0,2
BUBA084,eng,camel,1,1,2
BUBA084,eng,mask,0,1,2
BUBA084,eng,racquet,0,1,3
BUBA084,eng,snail,0,0,3
BUBA084,eng,volcano,1,1,3
BUBA084,eng,seahorse,1,0,3
BUBA084,eng,dart,1,1,3
BUBA084,eng,canoe,0,1,3
BUBA084,eng,wreath,1,0,3
BUBA084,eng,beaver,1,0,3
BUBA084,eng,harmonica,1,1,3
BUBA084,eng,rhinoceros,1,1,4
BUBA084,eng,acorn,0,0,4
BUBA084,eng,igloo,0,1,4
BUBA084,eng,stilts,0,0,4
BUBA084,eng,dominos,1,1,4
BUBA084,eng,harp,1,1,4
BUBA084,eng,hammock,0,1,4
BUBA084,eng,knocker,1,0,4
BUBA084,eng,pyramid,1,1,5
BUBA084,eng,muzzle,0,0,5
BUBA084,eng,unicorn,1,1,5
BUBA084,eng,funnel,1,0,5
BUBA084,eng,accordion,1,1,5
BUBA084,eng,noose,1,0,5
BUBA084,eng,asparagus,1,1,5
BUBA084,eng,compass,1,1,5
BUBA084,eng,latch,1,0,6
BUBA084,eng,tripod,1,1,6
BUBA084,eng,scroll,0,0,6
BUBA084,eng,tongs,1,0,6
BUBA084,eng,sphinx,1,1,6
BUBA084,eng,yoke,0,0,6
BUBA084,eng,trellis,0,0,6
BUBA084,eng,protractor,0,0,6
BUBA084,eng,abacus,1,1,6
BUBA085,eng,comb,1,0,1
BUBA085,eng,flower,1,1,1
BUBA085,eng,helicopter,1,1,2
BUBA085,eng,broom,1,0,2
BUBA085,eng,octopus,1,0,2
BUBA085,eng,mushroom,1,0,2
BUBA085,eng,hanger,1,0,2
BUBA085,eng,wheelchair,1,0,2
BUBA085,eng,camel,1,1,2
BUBA085,eng,mask,1,1,2
BUBA085,eng,racquet,1,1,3
BUBA085,eng,snail,1,0,3
BUBA085,eng,volcano,1,1,3
BUBA085,eng,seahorse,1,0,3
BUBA085,eng,dart,1,1,3
BUBA085,eng,canoe,1,1,3
BUBA085,eng,wreath,1,0,3
BUBA085,eng,beaver,0,0,3
BUBA085,eng,harmonica,1,1,3
BUBA085,eng,rhinoceros,1,1,4
BUBA085,eng,acorn,1,0,4
BUBA085,eng,igloo,1,1,4
BUBA085,eng,stilts,0,0,4
BUBA085,eng,dominos,1,1,4
BUBA085,eng,harp,1,1,4
BUBA085,eng,hammock,1,1,4
BUBA085,eng,knocker,1,0,4
BUBA085,eng,pyramid,1,1,5
BUBA085,eng,muzzle,1,0,5
BUBA085,eng,unicorn,1,1,5
BUBA085,eng,funnel,1,0,5
BUBA085,eng,accordion,0,1,5
BUBA085,eng,noose,1,0,5
BUBA085,eng,asparagus,1,1,5
BUBA085,eng,compass,1,1,5
BUBA085,eng,latch,0,0,6
BUBA085,eng,tripod,1,1,6
BUBA085,eng,scroll,1,0,6
BUBA085,eng,tongs,1,0,6
BUBA085,eng,sphinx,1,1,6
BUBA085,eng,yoke,1,0,6
BUBA085,eng,trellis,1,0,6
BUBA085,eng,protractor,0,0,6
BUBA085,eng,abacus,1,1,6
BUBA089,eng,comb,0,0,1
BUBA089,eng,flower,0,1,1
BUBA089,eng,helicopter,0,1,2
BUBA089,eng,broom,1,0,2
BUBA089,eng,octopus,0,0,2
BUBA089,eng,mushroom,0,0,2
BUBA089,eng,hanger,0,0,2
BUBA089,eng,wheelchair,0,0,2
BUBA089,eng,camel,0,1,2
BUBA089,eng,mask,1,1,2
