Record.ID,e,s,word,eng-acc,spa-acc,cognate,diff,subject
BUBA079,eng,spa,hanger,1,1,0,2,subject9
BUBA079,eng,spa,wheelchair,0,1,0,2,subject9
BUBA079,eng,spa,camel,1,1,1,2,subject9
BUBA079,eng,spa,mask,0,0,1,2,subject9
BUBA079,eng,spa,racquet,0,1,1,3,subject9
BUBA079,eng,spa,snail,1,1,0,3,subject9
BUBA079,eng,spa,volcano,1,0,1,3,subject9
BUBA079,eng,spa,seahorse,1,1,0,3,subject9
BUBA079,eng,spa,dart,0,1,1,3,subject9
BUBA079,eng,spa,canoe,1,0,1,3,subject9
BUBA079,eng,spa,wreath,0,0,0,3,subject9
BUBA079,eng,spa,beaver,1,0,0,3,subject9
BUBA079,eng,spa,harmonica,1,1,1,3,subject9
BUBA079,eng,spa,rhinoceros,0,0,1,4,subject9
BUBA079,eng,spa,acorn,0,0,0,4,subject9
BUBA079,eng,spa,igloo,0,0,1,4,subject9
BUBA079,eng,spa,stilts,0,0,0,4,subject9
BUBA079,eng,spa,dominos,1,1,1,4,subject9
BUBA079,eng,spa,harp,1,1,1,4,subject9
BUBA079,eng,spa,hammock,0,1,1,4,subject9
BUBA079,eng,spa,knocker,0,0,0,4,subject9
BUBA079,eng,spa,pyramid,1,0,1,5,subject9
BUBA079,eng,spa,muzzle,0,0,0,5,subject9
BUBA079,eng,spa,unicorn,0,0,1,5,subject9
BUBA079,eng,spa,funnel,0,1,0,5,subject9
BUBA079,eng,spa,accordion,1,1,1,5,subject9
BUBA079,eng,spa,noose,0,1,0,5,subject9
BUBA079,eng,spa,asparagus,1,1,1,5,subject9
BUBA079,eng,spa,compass,1,0,1,5,subject9
BUBA079,eng,spa,latch,0,1,0,6,subject9
BUBA079,eng,spa,tripod,0,0,1,6,subject9
BUBA079,eng,spa,scroll,0,0,0,6,subject9
BUBA079,eng,spa,tongs,0,0,0,6,subject9
BUBA079,eng,spa,sphinx,1,0,1,6,subject9
BUBA079,eng,spa,yoke,0,0,0,6,subject9
BUBA079,eng,spa,trellis,0,0,0,6,subject9
BUBA079,eng,spa,protractor,0,0,0,6,subject9
BUBA079,eng,spa,abacus,0,0,1,6,subject9
BUBA080,eng,spa,comb,1,1,0,1,subject10
BUBA080,eng,spa,flower,1,1,1,1,subject10
BUBA080,eng,spa,helicopter,0,1,1,2,subject10
BUBA080,eng,spa,broom,1,1,0,2,subject10
BUBA080,eng,spa,octopus,1,1,0,2,subject10
BUBA080,eng,spa,mushroom,1,0,0,2,subject10
BUBA080,eng,spa,hanger,1,1,0,2,subject10
BUBA080,eng,spa,wheelchair,1,1,0,2,subject10
BUBA080,eng,spa,camel,1,1,1,2,subject10
BUBA080,eng,spa,mask,1,1,1,2,subject10
BUBA080,eng,spa,racquet,0,0,1,3,subject10
BUBA080,eng,spa,snail,1,1,0,3,subject10
BUBA080,eng,spa,volcano,1,0,1,3,subject10
BUBA080,eng,spa,seahorse,0,1,0,3,subject10
BUBA080,eng,spa,dart,0,0,1,3,subject10
BUBA080,eng,spa,canoe,1,1,1,3,subject10
BUBA080,eng,spa,wreath,0,0,0,3,subject10
BUBA080,eng,spa,beaver,0,0,0,3,subject10
BUBA080,eng,spa,harmonica,1,1,1,3,subject10
BUBA080,eng,spa,rhinoceros,0,1,1,4,subject10
BUBA080,eng,spa,acorn,0,0,0,4,subject10
BUBA080,eng,spa,igloo,1,1,1,4,subject10
BUBA080,eng,spa,stilts,0,0,0,4,subject10
BUBA080,eng,spa,dominos,1,1,1,4,subject10
BUBA080,eng,spa,harp,0,0,1,4,subject10
BUBA080,eng,spa,hammock,1,1,1,4,subject10
BUBA080,eng,spa,knocker,0,0,0,4,subject10
BUBA080,eng,spa,pyramid,0,0,1,5,subject10
BUBA080,eng,spa,muzzle,0,0,0,5,subject10
BUBA080,eng,spa,unicorn,0,0,1,5,subject10
BUBA080,eng,spa,funnel,0,0,0,5,subject10
BUBA080,eng,spa,accordion,0,1,1,5,subject10
BUBA080,eng,spa,noose,0,0,0,5,subject10
BUBA080,eng,spa,asparagus,0,0,1,5,subject10
BUBA080,eng,spa,compass,0,0,1,5,subject10
BUBA080,eng,spa,latch,0,0,0,6,subject10
BUBA080,eng,spa,tripod,0,0,1,6,subject10
BUBA080,eng,spa,scroll,0,0,0,6,subject10
BUBA080,eng,spa,tongs,0,0,0,6,subject10
BUBA080,eng,spa,sphinx,0,0,1,6,subject10
BUBA080,eng,spa,yoke,0,0,0,6,subject10
BUBA080,eng,spa,trellis,0,0,0,6,subject10
BUBA080,eng,spa,protractor,0,0,0,6,subject10
BUBA080,eng,spa,abacus,0,0,1,6,subject10
BUBA083,eng,spa,comb,0,1,0,1,subject11
BUBA083,eng,spa,flower,1,1,1,1,subject11
BUBA083,eng,spa,helicopter,0,0,1,2,subject11
BUBA083,eng,spa,broom,0,1,0,2,subject11
BUBA083,eng,spa,octopus,0,0,0,2,subject11
BUBA083,eng,spa,mushroom,0,1,0,2,subject11
BUBA083,eng,spa,hanger,0,1,0,2,subject11
BUBA083,eng,spa,wheelchair,0,0,0,2,subject11
BUBA083,eng,spa,camel,0,1,1,2,subject11
BUBA083,eng,spa,mask,0,0,1,2,subject11
BUBA083,eng,spa,racquet,0,1,1,3,subject11
BUBA083,eng,spa,snail,0,0,0,3,subject11
BUBA083,eng,spa,volcano,0,1,1,3,subject11
BUBA083,eng,spa,seahorse,0,1,0,3,subject11
BUBA083,eng,spa,dart,0,1,1,3,subject11
BUBA083,eng,spa,canoe,0,1,1,3,subject11
BUBA083,eng,spa,wreath,0,0,0,3,subject11
BUBA083,eng,spa,beaver,0,0,0,3,subject11
BUBA083,eng,spa,harmonica,0,0,1,3,subject11
BUBA083,eng,spa,rhinoceros,0,1,1,4,subject11
BUBA083,eng,spa,acorn,0,0,0,4,subject11
BUBA083,eng,spa,igloo,0,0,1,4,subject11
BUBA083,eng,spa,stilts,0,1,0,4,subject11
BUBA083,eng,spa,dominos,0,0,1,4,subject11
BUBA083,eng,spa,harp,0,0,1,4,subject11
BUBA083,eng,spa,hammock,0,0,1,4,subject11
BUBA083,eng,spa,knocker,0,0,0,4,subject11
BUBA083,eng,spa,pyramid,0,1,1,5,subject11
BUBA083,eng,spa,muzzle,0,0,0,5,subject11
BUBA083,eng,spa,unicorn,0,0,1,5,subject11
BUBA083,eng,spa,funnel,0,0,0,5,subject11
BUBA083,eng,spa,accordion,0,1,1,5,subject11
BUBA083,eng,spa,noose,0,1,0,5,subject11
BUBA083,eng,spa,asparagus,0,0,1,5,subject11
BUBA083,eng,spa,compass,0,0,1,5,subject11
BUBA083,eng,spa,latch,0,0,0,6,subject11
BUBA083,eng,spa,tripod,0,0,1,6,subject11
BUBA083,eng,spa,scroll,0,0,0,6,subject11
BUBA083,eng,spa,tongs,0,0,0,6,subject11
BUBA083,eng,spa,sphinx,0,0,1,6,subject11
BUBA083,eng,spa,yoke,0,0,0,6,subject11
BUBA083,eng,spa,trellis,0,0,0,6,subject11
BUBA083,eng,spa,protractor,0,0,0,6,subject11
BUBA083,eng,spa,abacus,0,0,1,6,subject11
BUBA084,eng,spa,comb,1,1,0,1,subject12
BUBA084,eng,spa,flower,1,1,1,1,subject12
BUBA084,eng,spa,helicopter,1,1,1,2,subject12
BUBA084,eng,spa,broom,1,1,0,2,subject12
BUBA084,eng,spa,octopus,1,0,0,2,subject12
BUBA084,eng,spa,mushroom,1,1,0,2,subject12
BUBA084,eng,spa,hanger,1,0,0,2,subject12
BUBA084,eng,spa,wheelchair,1,1,0,2,subject12
BUBA084,eng,spa,camel,1,0,1,2,subject12
